name,dtype,meaning_cn,unit,source_table,comment
mf_sm_buy_vol,,,,moneyflow,
mf_sm_buy_amt,,,,moneyflow,
mf_sm_sell_vol,,,,moneyflow,
mf_sm_sell_amt,,,,moneyflow,
mf_md_buy_vol,,,,moneyflow,
mf_md_buy_amt,,,,moneyflow,
mf_md_sell_vol,,,,moneyflow,
mf_md_sell_amt,,,,moneyflow,
mf_lg_buy_vol,,,,moneyflow,
mf_lg_buy_amt,,,,moneyflow,
mf_lg_sell_vol,,,,moneyflow,
mf_lg_sell_amt,,,,moneyflow,
mf_elg_buy_vol,,,,moneyflow,
mf_elg_buy_amt,,,,moneyflow,
mf_elg_sell_vol,,,,moneyflow,
mf_elg_sell_amt,,,,moneyflow,
mf_net_vol,,,,moneyflow,
mf_net_amt,,,,moneyflow,
