stock,date,db_rows,db_close_rows,qlib_close_rows,qlib_close_non_null,qlib_close_file_exists,qlib_close_bin
000004.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/close.1min.bin
000006.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/close.1min.bin
000007.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/close.1min.bin
000010.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000010.sz/close.1min.bin
000016.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000016.sz/close.1min.bin
000017.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000017.sz/close.1min.bin
000019.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000019.sz/close.1min.bin
000032.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000032.sz/close.1min.bin
000035.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000035.sz/close.1min.bin
000037.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000037.sz/close.1min.bin
000039.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000039.sz/close.1min.bin
000042.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000042.sz/close.1min.bin
000045.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000045.sz/close.1min.bin
000048.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000048.sz/close.1min.bin
000049.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000049.sz/close.1min.bin
000050.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000050.sz/close.1min.bin
000058.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000058.sz/close.1min.bin
000061.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000061.sz/close.1min.bin
000063.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000063.sz/close.1min.bin
000065.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000065.sz/close.1min.bin
000088.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000088.sz/close.1min.bin
000090.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000090.sz/close.1min.bin
000099.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000099.sz/close.1min.bin
000155.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000155.sz/close.1min.bin
000156.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000156.sz/close.1min.bin
000166.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000166.sz/close.1min.bin
000301.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000301.sz/close.1min.bin
000401.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000401.sz/close.1min.bin
000403.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000403.sz/close.1min.bin
000408.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000408.sz/close.1min.bin
000409.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000409.sz/close.1min.bin
000410.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000410.sz/close.1min.bin
000420.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000420.sz/close.1min.bin
000426.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000426.sz/close.1min.bin
