stock,sample_count,before_gap_samples,after_gap_samples,inferred_denominator,denominator_min,denominator_max,denominator_abs_spread,denominator_rel_spread,db_max_adj,db_max_minus_inferred,db_max_matches_inferred,planned_factor_min,planned_factor_max
000004.SZ,29,14,15,4.064,4.064,4.064,0.0,0.0,4.064,0.0,True,1.0,1.0
000006.SZ,29,14,15,39.74,39.74,39.74,0.0,0.0,39.74,0.0,True,1.0,1.0
000007.SZ,29,14,15,8.284,8.284,8.284,0.0,0.0,8.284,0.0,True,1.0,1.0
000010.SZ,31,14,17,10.775,10.775,10.775,0.0,0.0,10.775,0.0,True,1.0,1.0
000016.SZ,28,14,14,22.375500131401378,22.375500131401378,22.375500131401378,0.0,0.0,22.3755,-1.314013786668511e-07,True,0.9999776482582092,0.9999776482582092
000017.SZ,31,14,17,2.683,2.683,2.683,0.0,0.0,2.683,0.0,True,1.0,1.0
000019.SZ,33,14,19,4.8613,4.8613,4.8613,0.0,0.0,4.8613,0.0,True,1.0,1.0
000032.SZ,28,14,14,4.2557,4.2557,4.2557,0.0,0.0,4.2557,0.0,True,1.0,1.0
000035.SZ,33,14,19,4.746199897657047,4.746199897657047,4.746199897657047,0.0,0.0,4.7462,1.0234295277911087e-07,True,0.9931102991104126,0.9931102991104126
000037.SZ,33,14,19,5.668300017023988,5.668300017023988,5.668300017023988,0.0,0.0,5.6683,-1.702398755298873e-08,True,0.9999470710754395,0.9999470710754395
000039.SZ,31,14,17,52.0044,52.0044,52.00440058297685,5.829768525700274e-07,1.121014476794324e-08,52.0044,0.0,True,0.978986382484436,1.0
000042.SZ,33,14,19,13.498,13.498,13.498,0.0,0.0,13.498,0.0,True,1.0,1.0
000045.SZ,34,14,20,3.0142,3.0142,3.0142,0.0,0.0,3.0142,0.0,True,1.0,1.0
000048.SZ,30,14,16,10.195600203715147,10.195600203715147,10.195600203715147,0.0,0.0,10.1956,-2.0371514608541474e-07,True,0.9788830280303955,0.9788830280303955
000049.SZ,30,14,16,9.403,9.403,9.403,0.0,0.0,9.403,0.0,True,1.0,1.0
000050.SZ,31,14,17,8.477200091078048,8.477200091078048,8.477200091078048,0.0,0.0,8.4772,-9.107804821439913e-08,True,0.999976396560669,0.999976396560669
000058.SZ,34,14,20,3.311,3.311,3.311,0.0,0.0,3.311,0.0,True,1.0,1.0
000061.SZ,31,14,17,22.8076,22.8076,22.8076,0.0,0.0,22.8076,0.0,True,1.0,1.0
000063.SZ,29,14,15,17.1055,17.1055,17.1055,0.0,0.0,17.1055,0.0,True,1.0,1.0
000065.SZ,30,14,16,17.8848,17.8848,17.88480026495184,2.649518400232864e-07,1.4814358562762036e-08,17.8848,0.0,True,1.0,1.0
000088.SZ,31,14,17,8.881400068886217,8.881400068886217,8.881400068886217,0.0,0.0,8.8814,-6.888621761902414e-08,True,0.9798229932785034,0.9798229932785034
000090.SZ,31,14,17,9.8305,9.8305,9.830500146312845,1.463128445067241e-07,1.488356080633987e-08,9.8305,0.0,True,0.9731854796409607,1.0
000099.SZ,31,14,17,3.955599981423688,3.955599981423688,3.955599981423688,0.0,0.0,3.9556,1.857631204416066e-08,True,0.9972444176673889,0.9972444176673889
000155.SZ,33,14,19,1.616900025279219,1.616900025279219,1.616900025279219,0.0,0.0,1.6169,-2.5279218940355008e-08,True,0.984167218208313,0.984167218208313
000156.SZ,29,14,15,1.2350000308765081,1.2350000308765081,1.2350000308765081,0.0,0.0,1.235,-3.0876508017030346e-08,True,0.9791092872619629,0.9791092872619629
000166.SZ,33,14,19,1.5774000147876812,1.5774000147876812,1.5774000147876812,0.0,0.0,1.5774,-1.478768130169783e-08,True,0.9851020574569702,0.9851020574569702
000301.SZ,29,14,15,2.379,2.379,2.379,0.0,0.0,2.379,0.0,True,1.0,1.0
000401.SZ,32,14,18,4.6942,4.69419996681729,4.6942,3.3182710801327175e-08,7.068874526293548e-09,4.6942,0.0,True,1.0,1.0
000403.SZ,33,14,19,10.2326,10.2326,10.2326,0.0,0.0,10.2326,0.0,True,1.0,1.0
000408.SZ,32,14,18,6.8433998772709,6.8433998772709,6.8433998772709,0.0,0.0,6.9622,0.11880012272910001,False,0.981325089931488,0.981325089931488
000409.SZ,30,14,16,2.150300040983912,2.150300040983912,2.150300040983912,0.0,0.0,2.1503,-4.0983911819836294e-08,True,0.9998604655265808,0.9998604655265808
000410.SZ,31,14,17,2.889,2.889,2.889,0.0,0.0,2.889,0.0,True,1.0,1.0
000420.SZ,33,14,19,6.352099954270598,6.352099954270598,6.352099954270598,0.0,0.0,6.3521,4.572940248692703e-08,True,0.9999842643737793,0.9999842643737793
000426.SZ,31,14,17,17.106799674506128,17.106799674506128,17.106799674506128,0.0,0.0,17.1068,3.2549387185554224e-07,True,0.996469259262085,0.996469259262085
000503.SZ,33,14,19,7.615,7.615,7.615,0.0,0.0,7.615,0.0,True,1.0,1.0
000504.SZ,33,14,19,2.103,2.103,2.103,0.0,0.0,2.103,0.0,True,1.0,1.0
000505.SZ,29,14,15,3.3622,3.3622,3.3622,0.0,0.0,3.3622,0.0,True,1.0,1.0
000506.SZ,30,14,16,2.872,2.872,2.872,0.0,0.0,2.872,0.0,True,1.0,1.0
000507.SZ,28,14,14,4.8296,4.829599894738231,4.8296,1.052617690788793e-07,2.179513191131342e-08,4.8296,0.0,True,1.0,1.0
000509.SZ,30,14,16,9.7463,9.7463,9.7463,0.0,0.0,9.7463,0.0,True,1.0,1.0
000516.SZ,32,14,18,39.873,39.873,39.873,0.0,0.0,39.873,0.0,True,1.0,1.0
000521.SZ,34,14,20,5.8682,5.8682,5.8682,0.0,0.0,5.8682,0.0,True,1.0,1.0
000523.SZ,31,14,17,6.687,6.687,6.687,0.0,0.0,6.687,0.0,True,1.0,1.0
000525.SZ,30,14,16,8.3784,8.3784,8.3784,0.0,0.0,8.3784,0.0,True,1.0,1.0
000526.SZ,30,14,16,2.471,2.471,2.471,0.0,0.0,2.471,0.0,True,1.0,1.0
000531.SZ,30,14,16,16.450300383736014,16.450300046519548,16.450300383736014,3.372164663062449e-07,2.0499106912335906e-08,16.4503,-3.837360154079761e-07,True,0.9907235503196716,0.9907235503196716
000534.SZ,29,14,15,4.2830998939100215,4.2830998939100215,4.2830998939100215,0.0,0.0,4.2831,1.0608997857985969e-07,True,0.9970815777778625,0.9970815777778625
000536.SZ,34,14,20,3.673199892014349,3.673199892014349,3.673199892014349,0.0,0.0,3.6732,1.079856510877164e-07,True,0.9999455809593201,0.9999455809593201
000537.SZ,31,14,17,6.946700118491486,6.946700004582215,6.946700118491486,1.1390927046051047e-07,1.6397608723211517e-08,6.9467,-1.184914859564401e-07,True,0.9954942464828491,0.9954942464828491
000538.SZ,29,14,15,30.44260024578595,30.44260024578595,30.44260024578595,0.0,0.0,30.4426,-2.4578595159141514e-07,True,0.9823930859565735,0.9823930859565735
000545.SZ,23,9,14,4.56,4.56,4.56,0.0,0.0,4.56,0.0,True,1.0,1.0
000546.SZ,30,14,16,1.847300043381346,1.847300043381346,1.847300043381346,0.0,0.0,1.8473,-4.338134607095867e-08,True,0.9998375773429871,0.9998375773429871
000547.SZ,32,14,18,10.683,10.683,10.683,0.0,0.0,10.683,0.0,True,1.0,1.0
000557.SZ,34,14,20,7.3975,7.397499977767206,7.3975,2.2232794272269985e-08,3.005447012135179e-09,7.3975,0.0,True,0.9906049370765686,0.9906049370765686
000558.SZ,32,14,18,5.957,5.957,5.957,0.0,0.0,5.957,0.0,True,1.0,1.0
000560.SZ,31,14,17,5.3020998654101765,5.3020998654101765,5.3020998654101765,0.0,0.0,5.3021,1.3458982373037998e-07,True,0.999981164932251,0.999981164932251
000563.SZ,30,14,16,18.898100564647113,18.898100564647113,18.898100564647113,0.0,0.0,19.2502,0.352099435352887,False,0.9914594292640686,0.9914594292640686
000564.SZ,34,14,20,7.182,7.182,7.182,0.0,0.0,7.182,0.0,True,1.0,1.0
000571.SZ,32,14,18,7.6130998307444315,7.6130998307444315,7.6130998307444315,0.0,0.0,7.6131,1.692555686716446e-07,True,0.9999868869781494,0.9999868869781494
000572.SZ,33,14,19,4.656099909065202,4.656099909065202,4.656099909065202,0.0,0.0,4.6561,9.09347983579778e-08,True,0.9999785423278809,0.9999785423278809
000582.SZ,31,14,17,5.532099887967942,5.532099887967942,5.532099887967942,0.0,0.0,5.5321,1.1203205740883959e-07,True,0.9910160899162292,0.9910160899162292
000586.SZ,34,14,20,3.6984999755587915,3.6984999755587915,3.6984999755587915,0.0,0.0,3.6985,2.444120861255783e-08,True,0.9998648166656494,0.9998648166656494
000590.SZ,34,14,20,4.764,4.764,4.764,0.0,0.0,4.764,0.0,True,1.0,1.0
000599.SZ,28,14,14,4.902400029757067,4.902400029757067,4.902400029757067,0.0,0.0,4.9024,-2.9757067032676332e-08,True,0.9999184012413025,0.9999184012413025
000600.SZ,31,14,17,7.528999887439848,7.528999887439848,7.528999887439848,0.0,0.0,7.529,1.1256015230998173e-07,True,0.9885376691818237,0.9885376691818237
000609.SZ,34,14,20,6.0290999027355285,6.0290999027355285,6.0290999027355285,0.0,0.0,6.0291,9.726447114388748e-08,True,0.9999834299087524,0.9999834299087524
000612.SZ,32,14,18,10.453,10.453,10.453,0.0,0.0,10.453,0.0,True,1.0,1.0
000615.SZ,31,14,17,9.556699896574427,9.556699896574427,9.556699896574427,0.0,0.0,9.5567,1.0342557210663017e-07,True,0.9514790773391724,0.9514790773391724
000620.SZ,33,14,19,2.2842000027778195,2.2842000027778195,2.2842000027778195,0.0,0.0,2.2842,-2.7778197519978676e-09,True,0.999912440776825,0.999912440776825
000629.SZ,29,14,15,7.789,7.789,7.789,0.0,0.0,7.789,0.0,True,1.0,1.0
000637.SZ,34,14,20,17.272,17.272,17.272,0.0,0.0,17.272,0.0,True,1.0,1.0
000651.SZ,29,14,15,230.3931039624137,230.3931039624137,230.3931039624137,0.0,0.0,230.3931,-3.962413700264733e-06,True,0.9344346523284912,0.9344346523284912
000655.SZ,34,14,20,6.177199839175153,6.177199839175153,6.177199938736455,9.956130142541042e-08,1.611754581647223e-08,6.1772,1.6082484677326647e-07,True,0.9768018126487732,0.9768018126487732
000665.SZ,33,14,19,5.766,5.766,5.766,0.0,0.0,5.766,0.0,True,1.0,1.0
