stock,date,calendar_rows,db_rows,db_open_rows,db_high_rows,db_low_rows,db_close_rows,db_volume_rows,db_amount_rows,adj_rows,has_limit_row,prev_close,up_limit,down_limit,qlib_open_non_null,qlib_high_non_null,qlib_low_non_null,qlib_close_non_null,qlib_volume_non_null,qlib_amount_non_null,qlib_factor_non_null,qlib_limit_up_non_null,qlib_limit_down_non_null,qlib_prev_close_non_null,qlib_up_limit_price_non_null,qlib_down_limit_price_non_null,patch_required_fields,verify_required_fields,patchable_candidate
000004.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,9.21,9.67,8.75,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000004.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,9.35,9.82,8.88,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000004.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,9.19,9.65,8.73,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000004.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,9.2,9.66,8.74,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000004.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,9.11,9.57,8.65,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000004.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,8.86,9.3,8.42,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000006.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,6.35,6.99,5.72,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000006.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,6.42,7.06,5.78,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000006.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,6.37,7.01,5.73,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000006.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,6.51,7.16,5.86,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000006.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,6.49,7.14,5.84,240,240,240,240,240,240,240,240,240,240,240,240,,,False
